,artist_name,track_name,release_date,danceability,energy,key,loudness,mode,speechiness,accousticness,instrumentalness,liveness,valence,tempo,popularity,cluster
99,Chip,Scene,2017-08-11,0.5870000000000001,0.8029999999999999,10,-6.564,0,0.396,0.191,0.0,0.171,0.363,140.36,32,2
100,AJ Tracey,Luke Cage,2016-12-02,0.794,0.8009999999999999,0,-6.433,1,0.271,0.35,0.0,0.0799,0.7170000000000001,147.072,2,7
101,Skepta,No Security,2017-03-01,0.8590000000000001,0.624,1,-5.437,1,0.0915,0.0053100000000000005,0.000124,0.184,0.635,149.94799999999998,56,5
102,Dizzee Rascal,Ghost,2017-07-21,0.746,0.727,11,-5.5089999999999995,1,0.244,0.348,0.0,0.128,0.40299999999999997,144.939,0,7
103,Dizzee Rascal,Space,2017-06-16,0.662,0.8109999999999999,6,-6.355,1,0.311,0.131,4.1e-06,0.6779999999999999,0.626,152.741,0,4
104,Post Malone,White Iverson,2016-12-09,0.677,0.5770000000000001,7,-7.671,1,0.0355,0.221,0.0,0.0776,0.32899999999999996,130.05,0,7
105,Skepta,That's Not Me,2016-05-06,0.8270000000000001,0.8540000000000001,0,-3.43,1,0.23800000000000002,0.33399999999999996,0.0,0.073,0.8690000000000001,139.089,0,7
106,Kendrick Lamar,Swimming Pools (Drank),2012-08-03,0.6559999999999999,0.446,1,-5.897,1,0.265,0.00695,0.00041900000000000005,0.08800000000000001,0.203,74.543,0,7
107,Mura Masa,Love$ick (feat. A$AP Rocky),2017-07-14,0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.75299999999999,74,1
108,Post Malone,Go Flex,2016-12-09,0.6629999999999999,0.489,5,-8.198,1,0.124,0.22699999999999998,0.0,0.0769,0.11699999999999999,81.959,0,0
109,Post Malone,Too Young,2016-12-09,0.625,0.639,11,-6.474,0,0.054000000000000006,0.292,5.739999999999999e-05,0.0833,0.263,123.012,0,7
110,Tyga,Ice Cream Man,2015-08-24,0.902,0.67,10,-4.074,1,0.19,0.16699999999999998,0.0,0.107,0.39,144.07,61,5
111,Bugzy Malone,Make Or Break,2017-07-14,0.569,0.6809999999999999,2,-5.899,0,0.213,0.365,6.670000000000001e-05,0.124,0.135,139.905,50,3
112,Skepta,Man,2016-05-06,0.7440000000000001,0.758,2,-6.501,1,0.263,0.0141,1.22e-05,0.213,0.546,137.892,0,7
113,Stormzy,Scary,2016-09-02,0.629,0.662,7,-12.353,0,0.68,0.43,0.0,0.141,0.535,137.718,53,2
114,Skepta,Shutdown,2016-05-06,0.6559999999999999,0.746,7,-4.716,1,0.314,0.126,0.0,0.508,0.8240000000000001,104.044,0,7
115,Logic,1-800-273-8255,2017-04-28,0.622,0.593,5,-7.755,0,0.0414,0.56,0.0,0.175,0.369,100.04799999999999,0,0
116,J Balvin,Mi Gente,2017-06-30,0.774,0.687,11,-4.8180000000000005,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,72,1
117,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),2017-03-09,0.8390000000000001,0.81,5,-5.274,0,0.0568,0.501,0.0,0.11699999999999999,0.8140000000000001,129.014,0,7
118,Tinie Tempah,Been the Man,2015-12-14,0.74,0.8190000000000001,1,-4.831,1,0.38299999999999995,0.15,0.0,0.33,0.713,139.67700000000002,44,3
119,Stormzy,Not That Deep,2014-11-23,0.46,0.815,11,-9.244,0,0.385,0.369,0.0,0.0942,0.7979999999999999,139.27,0,2
120,Solo 45,Feed Em To The Lions - Remix,2016-06-17,0.6409999999999999,0.9540000000000001,11,-5.042,0,0.207,0.0016,0.0,0.161,0.787,139.997,0,7
121,A Boogie Wit da Hoodie,Jungle,2016-09-16,0.5379999999999999,0.52,7,-11.062999999999999,0,0.737,0.308,0.0,0.214,0.551,180.274,72,2
122,Skepta,Konnichiwa,2016-05-06,0.7879999999999999,0.5920000000000001,8,-10.667,1,0.35600000000000004,0.0085,6.75e-05,0.16399999999999998,0.23800000000000002,138.02100000000002,0,2
123,Big Boi,Kill Jill,2017-01-01,0.7709999999999999,0.527,7,-6.797999999999999,0,0.23199999999999998,0.205,0.0,0.0978,0.113,139.934,0,2
124,Post Malone,rockstar,2017-09-15,0.5770000000000001,0.522,5,-6.593999999999999,0,0.0984,0.13,9.03e-05,0.142,0.11900000000000001,159.77200000000002,4,3
125,Eminem,25 To Life,2010-06-18,0.619,0.9259999999999999,8,-0.975,0,0.257,0.249,0.0,0.20800000000000002,0.37200000000000005,79.589,0,7
126,A$AP Ferg,Plain Jane,2017-08-18,0.797,0.8440000000000001,11,-5.482,1,0.275,0.0651,0.0,0.087,0.52,170.142,76,3
127,A$AP Ferg,One Night Savage (feat. MadeinTYO),2017-08-18,0.71,0.8370000000000001,4,-5.436,0,0.214,0.6609999999999999,5.81e-06,0.16,0.659,81.09899999999999,43,1
128,Mike WiLL Made-It,Perfect Pint,2017-06-09,0.737,0.56,7,-5.535,1,0.151,0.154,0.0,0.228,0.32,180.05,0,3
129,Krept & Konan,Ask Flipz,2017-10-20,0.813,0.7140000000000001,10,-6.528,0,0.188,0.27399999999999997,0.0374,0.0899,0.621,137.003,0,7
130,Chip,Coward,2015-10-23,0.494,0.78,2,-5.841,1,0.301,0.35200000000000004,0.0,0.396,0.884,139.725,55,3
131,Bugzy Malone,Facing Time,2016-06-03,0.386,0.7879999999999999,10,-4.927,0,0.21100000000000002,0.382,0.0,0.096,0.156,139.434,48,3
132,Skepta,I Spy,2007-09-17,0.569,0.7070000000000001,2,-6.736000000000001,1,0.315,0.0179,0.0,0.0948,0.516,140.4,55,3
133,Diddy - Dirty Money,Coming Home,2010-01-01,0.353,0.815,7,-1.844,1,0.212,0.16399999999999998,0.0,0.217,0.245,167.97099999999998,0,3
134,Mac Miller,Donald Trump,2011-05-17,0.636,0.9009999999999999,1,-7.093999999999999,0,0.11800000000000001,0.11900000000000001,0.0,0.391,0.836,162.994,67,3
135,Scribe,Not Many,2003-01-01,0.8240000000000001,0.879,5,-3.5810000000000004,0,0.11800000000000001,0.11,0.0,0.146,0.662,140.097,50,1
136,Aminé,Caroline,2016-08-26,0.946,0.396,10,-8.458,1,0.47600000000000003,0.272,0.0,0.129,0.693,120.09100000000001,0,2
